anime_id;titulo;url_fonte_anime;generos;ano;qtd_episodios_site;bloco_origem;status_validacao;adulto_18;tipo_player;modo_reproducao;publicar;gratuito_autorizado;drm_paywall;observacao
douse-koishite-shimaunda;Douse, Koishite Shimaunda;https://anizero.org/anime/douse-koishite-shimaunda/;Animação, Drama;2025;11;Lancamentos do dia;Revisar;False;iframe_tentativa;sala_externa;Nao;Revisar;Nao;Fonte AniZero mapeada como sala externa. Validar autorização/incorporação antes de publicar.
around-40-otoko-no-isekai-tsuuhan;Around 40 Otoko no Isekai Tsuuhan;https://anizero.org/anime/around-40-otoko-no-isekai-tsuuhan/;;2025;12;Lancamentos do dia;Revisar;False;iframe_tentativa;sala_externa;Nao;Revisar;Nao;Fonte AniZero mapeada como sala externa. Validar autorização/incorporação antes de publicar.
dr-stone-s4;Dr. Stone S4;https://anizero.org/anime/dr-stone-s4/;;2025;12;Lancamentos do dia;Revisar;False;iframe_tentativa;sala_externa;Nao;Revisar;Nao;Fonte AniZero mapeada como sala externa. Validar autorização/incorporação antes de publicar.
nihon-e-youkoso-elf-san;Nihon e Youkoso Elf-san;https://anizero.org/anime/nihon-e-youkoso-elf-san/;;2025;12;Lancamentos do dia;Revisar;False;iframe_tentativa;sala_externa;Nao;Revisar;Nao;Fonte AniZero mapeada como sala externa. Validar autorização/incorporação antes de publicar.
bye-bye-earth-s2;Bye-Bye, Earth S2;https://anizero.org/anime/bye-bye-earth-s2/;;2025;1;Lancamentos do dia;Revisar;False;iframe_tentativa;sala_externa;Nao;Revisar;Nao;Fonte AniZero mapeada como sala externa. Validar autorização/incorporação antes de publicar.
compass-2-0-sentou-setsuri-kaiseki-system;Compass 2.0 Sentou Setsuri Kaiseki System;https://anizero.org/anime/compass-2-0-sentou-setsuri-kaiseki-system/;;2025;1;Lancamentos do dia;Revisar;False;iframe_tentativa;sala_externa;Nao;Revisar;Nao;Fonte AniZero mapeada como sala externa. Validar autorização/incorporação antes de publicar.
zatsu-tabi-thats-journey;Zatsu Tabi: That’s Journey;https://anizero.org/anime/zatsu-tabi-thats-journey/;;2025;1;Lancamentos do dia;Revisar;False;iframe_tentativa;sala_externa;Nao;Revisar;Nao;Fonte AniZero mapeada como sala externa. Validar autorização/incorporação antes de publicar.
summer-pockets;Summer Pockets;https://anizero.org/anime/summer-pockets/;;2025;1;Lancamentos do dia;Revisar;False;iframe_tentativa;sala_externa;Nao;Revisar;Nao;Fonte AniZero mapeada como sala externa. Validar autorização/incorporação antes de publicar.
devil-may-cry-2025;Devil May Cry 2025;https://anizero.org/anime/devil-may-cry-2025/;;2025;8;Lancamentos do dia;Revisar;False;iframe_tentativa;sala_externa;Nao;Revisar;Nao;Fonte AniZero mapeada como sala externa. Validar autorização/incorporação antes de publicar.
apocalypse-hotel;Apocalypse Hotel;https://anizero.org/anime/apocalypse-hotel/;;2025;1;Lancamentos do dia;Revisar;False;iframe_tentativa;sala_externa;Nao;Revisar;Nao;Fonte AniZero mapeada como sala externa. Validar autorização/incorporação antes de publicar.
one-piece;One Piece;https://anizero.org/anime/one-piece/;Ação, Action & Adventure, Animação, Aventura, Comédia, Fantasia, Shounen;1999;1133;Populares da semana;Revisar;False;iframe_tentativa;sala_externa;Nao;Revisar;Nao;Fonte AniZero mapeada como sala externa. Validar autorização/incorporação antes de publicar.
a-casa-coruja-the-owl-house-s2;A Casa Coruja (The Owl House) S2;https://anizero.org/anime/a-casa-coruja-the-owl-house-s2/;Aventura, Cartoon, Comédia, Ficção Científica;2020;21;Populares da semana;Revisar;False;iframe_tentativa;sala_externa;Nao;Revisar;Nao;Fonte AniZero mapeada como sala externa. Validar autorização/incorporação antes de publicar.
yu-gi-oh-s1;Yu-Gi-Oh! S1;https://anizero.org/anime/yu-gi-oh-s1/;Aventura, Fantasia, Ficção Científica, Shounen;2000;224;Populares da semana;Revisar;False;iframe_tentativa;sala_externa;Nao;Revisar;Nao;Fonte AniZero mapeada como sala externa. Validar autorização/incorporação antes de publicar.
tonari-no-kaibutsu-kun-my-little-monster;Tonari no Kaibutsu-kun (My Little Monster);https://anizero.org/anime/tonari-no-kaibutsu-kun-my-little-monster/;Comédia, Romance, Shoujo, Vida Escolar;2012;13;Populares da semana;Revisar;False;iframe_tentativa;sala_externa;Nao;Revisar;Nao;Fonte AniZero mapeada como sala externa. Validar autorização/incorporação antes de publicar.
kimetsu-no-yaiba-demon-slayer-s4;Kimetsu no Yaiba (Demon Slayer) S4;https://anizero.org/anime/kimetsu-no-yaiba-demon-slayer-s4/;Ação, Action & Adventure, Animação, Demônio, Histórico, Sci-Fi & Fantasy, Shounen;2019;11;Populares da semana;Revisar;False;iframe_tentativa;sala_externa;Nao;Revisar;Nao;Fonte AniZero mapeada como sala externa. Validar autorização/incorporação antes de publicar.
fairy-tail;Fairy Tail;https://anizero.org/anime/fairy-tail/;Action & Adventure, Animação, Comédia, Mistério, Sci-Fi & Fantasy;2009;327;Populares da semana;Revisar;False;iframe_tentativa;sala_externa;Nao;Revisar;Nao;Fonte AniZero mapeada como sala externa. Validar autorização/incorporação antes de publicar.
apenas-um-show;Apenas Um Show;https://anizero.org/anime/apenas-um-show/;Aventura, Cartoon, Comédia;2010;12;Populares da semana;Revisar;False;iframe_tentativa;sala_externa;Nao;Revisar;Nao;Fonte AniZero mapeada como sala externa. Validar autorização/incorporação antes de publicar.
clarencio-o-otimista;Clarencio, O Otimista;https://anizero.org/anime/clarencio-o-otimista/;Cartoon, Comédia;2014;51;Populares da semana;Revisar;False;iframe_tentativa;sala_externa;Nao;Revisar;Nao;Fonte AniZero mapeada como sala externa. Validar autorização/incorporação antes de publicar.
a-day-before-us-yeon-ae-halujeon;A day before us (Yeon ae Halujeon);https://anizero.org/anime/a-day-before-us-yeon-ae-halujeon/;Drama;2018;10;Ultimos titulos adicionados;Revisar;False;iframe_tentativa;sala_externa;Nao;Revisar;Nao;Fonte AniZero mapeada como sala externa. Validar autorização/incorporação antes de publicar.
yasuke;Yasuke;https://anizero.org/anime/yasuke/;Ação, Fantasia, Samurai;2021;6;Ultimos titulos adicionados;Revisar;False;iframe_tentativa;sala_externa;Nao;Revisar;Nao;Fonte AniZero mapeada como sala externa. Validar autorização/incorporação antes de publicar.
